trip_id,service_id,train_number,service_class,service_days,trip_sequence,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
rail-yia_airport_yogyakarta-528,yia_airport_yogyakarta,528,regular,not_stated,12,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-554,yia_airport_yogyakarta,554,xpress,not_stated,13,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-566,yia_airport_yogyakarta,566,regular,not_stated,14,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-530,yia_airport_yogyakarta,530,regular,not_stated,15,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-542,yia_airport_yogyakarta,542,xpress,not_stated,16,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-556,yia_airport_yogyakarta,556,xpress,not_stated,17,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-568,yia_airport_yogyakarta,568,regular,not_stated,18,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-532,yia_airport_yogyakarta,532,regular,not_stated,19,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-558,yia_airport_yogyakarta,558,xpress,not_stated,20,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-544,yia_airport_yogyakarta,544,xpress,not_stated,21,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-570,yia_airport_yogyakarta,570,regular,not_stated,22,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-560,yia_airport_yogyakarta,560,xpress,not_stated,23,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-534,yia_airport_yogyakarta,534,regular,not_stated,24,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-yia_airport_yogyakarta-546,yia_airport_yogyakarta,546,xpress,not_stated,25,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_yogyakarta_kutoarjo-501,prameks_yogyakarta_kutoarjo,501,regular,not_stated,1,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_yogyakarta_kutoarjo-503,prameks_yogyakarta_kutoarjo,503,regular,not_stated,2,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_yogyakarta_kutoarjo-505,prameks_yogyakarta_kutoarjo,505,regular,not_stated,3,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_yogyakarta_kutoarjo-509,prameks_yogyakarta_kutoarjo,509,regular,not_stated,4,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_yogyakarta_kutoarjo-507,prameks_yogyakarta_kutoarjo,507,regular,not_stated,5,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_kutoarjo_yogyakarta-508,prameks_kutoarjo_yogyakarta,508,regular,not_stated,1,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_kutoarjo_yogyakarta-502,prameks_kutoarjo_yogyakarta,502,regular,not_stated,2,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_kutoarjo_yogyakarta-504,prameks_kutoarjo_yogyakarta,504,regular,not_stated,3,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_kutoarjo_yogyakarta-506,prameks_kutoarjo_yogyakarta,506,regular,not_stated,4,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
rail-prameks_kutoarjo_yogyakarta-510,prameks_kutoarjo_yogyakarta,510,regular,not_stated,5,Peta Integrasi Angkutan Umum.pdf,8,,,2025-02-01,2026-09-12,unverified
