trip_id,route_id,trip_sequence,start_stop_id,end_stop_id,scheduled_stop_count,is_estimated,source_file,source_page,effective_from,effective_until,source_last_updated,freshness_as_of,freshness_status
bus-12-p04-c011,12,11,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c012,12,12,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c013,12,13,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c014,12,14,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c015,12,15,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c016,12,16,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c017,12,17,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c018,12,18,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c019,12,19,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c020,12,20,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c021,12,21,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c022,12,22,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c023,12,23,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c024,12,24,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c025,12,25,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c026,12,26,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c027,12,27,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c028,12,28,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c029,12,29,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c030,12,30,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c031,12,31,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c032,12,32,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c033,12,33,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c034,12,34,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c035,12,35,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c036,12,36,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c037,12,37,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c038,12,38,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c039,12,39,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c040,12,40,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c041,12,41,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c042,12,42,bus-terminal-condongcatur-fcb890e4,bus-terminal-condongcatur-fcb890e4,62,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c043,12,43,bus-terminal-condongcatur-fcb890e4,bus-terminal-pakem-ee26af28,31,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c044,12,44,bus-terminal-condongcatur-fcb890e4,bus-terminal-pakem-ee26af28,31,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-12-p04-c045,12,45,bus-terminal-condongcatur-fcb890e4,bus-terminal-pakem-ee26af28,31,true,Peta Integrasi Angkutan Umum.pdf,4,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c001,13,1,bus-kridosono-2bc75039,bus-pusat-kuliner-belut-godean-7bc5eef1,28,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c002,13,2,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c003,13,3,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c004,13,4,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c005,13,5,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c006,13,6,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c007,13,7,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c008,13,8,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c009,13,9,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c010,13,10,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c011,13,11,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c012,13,12,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c013,13,13,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c014,13,14,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c015,13,15,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c016,13,16,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c017,13,17,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c018,13,18,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c019,13,19,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c020,13,20,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c021,13,21,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c022,13,22,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c023,13,23,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c024,13,24,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c025,13,25,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-pusat-kuliner-belut-godean-7bc5eef1,51,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c026,13,26,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-malioboro-3-d1dc4d12,28,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-13-p05-c027,13,27,bus-pusat-kuliner-belut-godean-7bc5eef1,bus-malioboro-3-d1dc4d12,28,true,Peta Integrasi Angkutan Umum.pdf,5,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c001,14,1,bus-terminal-pakem-ee26af28,bus-bandara-adisutjipto-236fa189,40,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c002,14,2,bus-terminal-pakem-ee26af28,bus-bandara-adisutjipto-236fa189,40,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c003,14,3,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c004,14,4,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c005,14,5,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c006,14,6,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c007,14,7,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c008,14,8,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c009,14,9,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c010,14,10,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c011,14,11,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c012,14,12,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c013,14,13,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c014,14,14,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c015,14,15,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c016,14,16,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c017,14,17,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c018,14,18,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c019,14,19,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c020,14,20,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c021,14,21,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c022,14,22,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c023,14,23,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c024,14,24,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c025,14,25,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c026,14,26,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c027,14,27,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c028,14,28,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c029,14,29,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c030,14,30,bus-bandara-adisutjipto-236fa189,bus-bandara-adisutjipto-236fa189,76,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c031,14,31,bus-bandara-adisutjipto-236fa189,bus-terminal-pakem-ee26af28,37,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-14-p06-c032,14,32,bus-bandara-adisutjipto-236fa189,bus-terminal-pakem-ee26af28,37,true,Peta Integrasi Angkutan Umum.pdf,6,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c001,EV3,1,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c002,EV3,2,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c003,EV3,3,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c004,EV3,4,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c005,EV3,5,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c006,EV3,6,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c007,EV3,7,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c008,EV3,8,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c009,EV3,9,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c010,EV3,10,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c011,EV3,11,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c012,EV3,12,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c013,EV3,13,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c014,EV3,14,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c015,EV3,15,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c016,EV3,16,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c017,EV3,17,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c018,EV3,18,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c019,EV3,19,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c020,EV3,20,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c021,EV3,21,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
bus-ev3-p07-c022,EV3,22,bus-terminal-jombor-536d39cc,bus-terminal-jombor-536d39cc,28,true,Peta Integrasi Angkutan Umum.pdf,7,2025-12-01,,,2026-09-12,unverified
