stop_id,mode,stop_name,canonical_name,direction_code,aliases,match_status,matched_activity_id,longitude,latitude,activity_observed_at,evidence_count,match_as_of
bus-banguntapan-1-gedong-kuning-50b8a187,bus,TPB Banguntapan 1 Gedong Kuning,banguntapan 1 gedong kuning,,TPB Banguntapan 1 Gedong Kuning,unmatched,,,,,0,2026-09-12
bus-barat-jembatan-moyudan-toko-saerah-2-4abe8813,bus,Barat Jembatan Moyudan (Toko Saerah) 2,barat jembatan moyudan toko saerah 2,,Barat Jembatan Moyudan (Toko Saerah) 2,unmatched,,,,,0,2026-09-12
bus-barat-jembatan-moyudan-toko-saerah-c31b10c2,bus,Barat Jembatan Moyudan (Toko Saerah),barat jembatan moyudan toko saerah,,Barat Jembatan Moyudan (Toko Saerah),unmatched,,,,,0,2026-09-12
bus-barat-simpang-bantulan-2-00b7c5ce,bus,Barat Simpang Bantulan 2,barat simpang bantulan 2,,Barat Simpang Bantulan 2,unmatched,,,,,0,2026-09-12
bus-batas-kota-jalan-monjali-timur-b05b374d,bus,Batas Kota Jl. Monjali Timur,batas kota jalan monjali timur,,Batas Kota Jl. Monjali Timur,unmatched,,,,,0,2026-09-12
bus-batas-kota-jalan-monjali-w-68b41405,bus,Batas Kota Jl. Monjali (Barat),batas kota jalan monjali,W,Batas Kota Jl. Monjali (Barat),unmatched,,,,,0,2026-09-12
bus-bhayangkara-3972633d,bus,Bhayangkara,bhayangkara,,Bhayangkara | Portabel Bhayangkara,matched_exact,6a8a88b40d6732db988bfbb8,110.36208001256682,-7.799398820735533,2026-08-23T05:44:20.681Z,1,2026-09-12
bus-binamarga-e-ab7d8067,bus,Binamarga (T),binamarga,E,Binamarga (T),unmatched,,,,,0,2026-09-12
bus-biologi-ugm-b03972b2,bus,Biologi UGM,biologi ugm,,Biologi UGM,matched_exact,6a8cf35c52d86e03b51a595f,110.3767941399006,-7.765264836068539,2026-08-25T01:43:56.563Z,2,2026-09-12
bus-biologi-ugm-s-9cd9d036,bus,Biologi UGM (S),biologi ugm,S,Biologi UGM (S),review_fuzzy,,,,,0,2026-09-12
bus-bkd-c482af74,bus,BKD,bkd,,BKD,review_fuzzy,,,,,0,2026-09-12
bus-bkd-s-fe8220fe,bus,BKD (Selatan),bkd,S,BKD (Selatan),review_fuzzy,,,,,0,2026-09-12
bus-bkpm-b11114ea,bus,BKPM,bkpm,,BKPM,unmatched,,,,,0,2026-09-12
bus-bkpm-diy-c690757d,bus,TPB BKPM DIY,bkpm diy,,TPB BKPM DIY,unmatched,,,,,0,2026-09-12
bus-blok-o-b354f518,bus,Blok O,blok o,,Blok O,unmatched,,,,,0,2026-09-12
bus-blok-o-rs-hardjolukito-882b9a9c,bus,Halte Blok O (RS Hardjolukito),blok o rs hardjolukito,,Halte Blok O (RS Hardjolukito),unmatched,,,,,0,2026-09-12
bus-boulevard-uii-1c76a601,bus,Boulevard UII,boulevard uii,,Boulevard UII,unmatched,,,,,0,2026-09-12
bus-bpd-gamping-s-4c58803f,bus,BPD Gamping (Selatan),bpd gamping,S,BPD Gamping (Selatan),review_fuzzy,,,,,0,2026-09-12
bus-bpd-kalasan-c034d3b7,bus,BPD Kalasan,bpd kalasan,,BPD Kalasan,unmatched,,,,,0,2026-09-12
bus-bri-cabang-bantul-ca5f6e41,bus,Halte BRI Cabang Bantul,bri cabang bantul,,Halte BRI Cabang Bantul,review_fuzzy,,,,,0,2026-09-12
bus-bri-umy-8fdcca3e,bus,TPB BRI UMY,bri umy,,TPB BRI UMY,unmatched,,,,,0,2026-09-12
bus-bsi-98bb411e,bus,Portabel BSI,bsi,,Portabel BSI,unmatched,,,,,0,2026-09-12
bus-budi-mulia-dua-e-a55ed31d,bus,Budi Mulia Dua (T),budi mulia dua,E,Budi Mulia Dua (T),unmatched,,,,,0,2026-09-12
bus-budi-mulia-dua-w-ab139615,bus,Budi Mulia Dua (B),budi mulia dua,W,Budi Mulia Dua (B),unmatched,,,,,0,2026-09-12
bus-bulog-970050c0,bus,Bulog,bulog,,Bulog | Halte Bulog,unmatched,,,,,0,2026-09-12
bus-cik-di-tiro-1-c10dd170,bus,Halte Cik Di Tiro 1,cik di tiro 1,,Halte Cik Di Tiro 1,review_fuzzy,,,,,0,2026-09-12
bus-cik-di-tiro-2-c9609bbb,bus,Halte TJ Cik Di Tiro 2,cik di tiro 2,,Halte TJ Cik Di Tiro 2,matched_exact,6a8d77b552d86e03b51acbf3,110.37518200888871,-7.78119792960976,2026-08-25T11:08:37.384Z,1,2026-09-12
bus-cokroaminoto-sma-1-63bf5f7a,bus,Halte Cokroaminoto SMA 1,cokroaminoto sma 1,,Halte Cokroaminoto SMA 1,unmatched,,,,,0,2026-09-12
bus-colombo-kosudgama-d0852f9e,bus,Halte TJ Colombo (Kosudgama),colombo kosudgama,,Halte TJ Colombo (Kosudgama),review_fuzzy,,,,,0,2026-09-12
bus-cupuwatu-ac95b213,bus,Cupuwatu,cupuwatu,,Cupuwatu,unmatched,,,,,0,2026-09-12
bus-daytrans-jalan-magelang-d2cbfb7a,bus,Daytrans Jl. Magelang,daytrans jalan magelang,,Daytrans Jl. Magelang,matched_exact,6a827b319870dcf66e45516e,110.36206630764042,-7.756402966070512,2026-08-17T03:08:33.104Z,1,2026-09-12
bus-demangan-d2a020bd,bus,TPB Demangan,demangan,,TPB Demangan,review_fuzzy,,,,,0,2026-09-12
bus-dentes-godean-s-a68a5086,bus,Dentes Godean (S),dentes godean,S,Dentes Godean (S),unmatched,,,,,0,2026-09-12
bus-dentes-ruko-godean-2ce70ad6,bus,Portabel Dentes (Ruko Godean),dentes ruko godean,,Portabel Dentes (Ruko Godean),unmatched,,,,,0,2026-09-12
bus-diponegoro-4e843c81,bus,Halte TJ Diponegoro,diponegoro,,Halte TJ Diponegoro,matched_exact,6a8ba64f52d86e03b519bfcf,110.36255287491576,-7.782872521318353,2026-08-24T02:02:55.347Z,2,2026-09-12
bus-dishub-diy-f1346f4c,bus,Dishub DIY,dishub diy,,Dishub DIY,review_fuzzy,,,,,0,2026-09-12
bus-disnakertrans-di-yogyakarta-2f728f54,bus,Disnakertrans DI Yogyakarta,disnakertrans di yogyakarta,,Disnakertrans DI Yogyakarta,unmatched,,,,,0,2026-09-12
bus-disnakertrans-e-6b55bbd8,bus,Disnakertrans (T),disnakertrans,E,Disnakertrans (T),unmatched,,,,,0,2026-09-12
bus-disnakertrans-w-93db3168,bus,Disnakertrans (B),disnakertrans,W,Disnakertrans (B),unmatched,,,,,0,2026-09-12
bus-druwo-12f06437,bus,Portabel Druwo,druwo,,Portabel Druwo,review_fuzzy,,,,,0,2026-09-12
bus-dukuh-e-9d567c71,bus,Dukuh (Timur),dukuh,E,Dukuh (Timur),review_fuzzy,,,,,0,2026-09-12
bus-dukuh-w-69bdab86,bus,Dukuh (Barat),dukuh,W,Dukuh (Barat),review_fuzzy,,,,,0,2026-09-12
bus-dusun-kenthi-0ba5bcc5,bus,Dusun Kenthi,dusun kenthi,,Dusun Kenthi,unmatched,,,,,0,2026-09-12
bus-dusun-kenthi-2-e0d38c86,bus,Dusun Kenthi 2,dusun kenthi 2,,Dusun Kenthi 2,unmatched,,,,,0,2026-09-12
bus-dusun-kledokan-e-4b0dcd88,bus,Dusun Kledokan (T),dusun kledokan,E,Dusun Kledokan (T),unmatched,,,,,0,2026-09-12
bus-dusun-kledokan-soto-brakot-2-0ae3a409,bus,Dusun Kledokan (Soto Brakot) 2,dusun kledokan soto brakot 2,,Dusun Kledokan (Soto Brakot) 2,unmatched,,,,,0,2026-09-12
bus-dusun-kledokan-soto-brakot-fc4d12ed,bus,Dusun Kledokan (Soto Brakot),dusun kledokan soto brakot,,Dusun Kledokan (Soto Brakot),unmatched,,,,,0,2026-09-12
bus-dusun-kledokan-w-a0cbb57b,bus,Dusun Kledokan (B),dusun kledokan,W,Dusun Kledokan (B),unmatched,,,,,0,2026-09-12
bus-dusun-ngawen-d785cc2b,bus,Portable Dusun Ngawen,dusun ngawen,,Portable Dusun Ngawen,matched_exact,6a881492d57440d48a1f2ec3,110.34386479306067,-7.744987662888826,2026-08-21T09:04:18.698Z,1,2026-09-12
bus-edotel-kalasan-1-a343eedf,bus,TPB Edotel Kalasan 1,edotel kalasan 1,,TPB Edotel Kalasan 1,review_fuzzy,,,,,0,2026-09-12
bus-edotel-kalasan-2-9b48bce6,bus,TPB Edotel Kalasan 2,edotel kalasan 2,,TPB Edotel Kalasan 2,review_fuzzy,,,,,0,2026-09-12
bus-eks-bioskop-mataram-fcd6b8b6,bus,TPB Eks Bioskop Mataram,eks bioskop mataram,,TPB Eks Bioskop Mataram,unmatched,,,,,0,2026-09-12
bus-eks-borobudur-plaza-9ab82812,bus,Eks Borobudur Plaza,eks borobudur plaza,,Eks Borobudur Plaza,review_fuzzy,,,,,0,2026-09-12
bus-eks-menara-kopi-n-a0aeefe1,bus,Eks Menara Kopi (Utara),eks menara kopi,N,Eks Menara Kopi (Utara),review_fuzzy,,,,,0,2026-09-12
bus-eks-menara-kopi-s-dd0efb75,bus,Eks Menara Kopi (S),eks menara kopi,S,Eks Menara Kopi (S) | Eks Menara Kopi (Selatan),review_fuzzy,,,,,0,2026-09-12
bus-eks-menara-kopi-selatan-a7802379,bus,Eks Menara Kopi Selatan,eks menara kopi selatan,,Eks Menara Kopi Selatan,review_fuzzy,,,,,0,2026-09-12
bus-eks-perpusda-80a03598,bus,Eks Perpusda,eks perpusda,,Eks Perpusda,unmatched,,,,,0,2026-09-12
bus-eks-stasiun-ka-bantul-aaacaef2,bus,Eks. Stasiun KA Bantul,eks stasiun ka bantul,,Eks. Stasiun KA Bantul,review_fuzzy,,,,,0,2026-09-12
bus-eks-stie-kerjasama-57790499,bus,Eks STIE Kerjasama,eks stie kerjasama,,Eks STIE Kerjasama,unmatched,,,,,0,2026-09-12
bus-fip-uny-ffd961ca,bus,FIP UNY,fip uny,,FIP UNY,unmatched,,,,,0,2026-09-12
bus-fisipol-ugm-e-1c7537a9,bus,Fisipol UGM (Timur),fisipol ugm,E,Fisipol UGM (Timur),unmatched,,,,,0,2026-09-12
bus-fisipol-ugm-w-97df7db9,bus,Fisipol UGM (Barat),fisipol ugm,W,Fisipol UGM (Barat),unmatched,,,,,0,2026-09-12
bus-fkg-ugm-n-14f6b4a2,bus,FKG UGM (U),fkg ugm,N,FKG UGM (U) | FKG UGM (Utara),review_fuzzy,,,,,0,2026-09-12
bus-fkg-ugm-s-1cd7bfe3,bus,FKG UGM (S),fkg ugm,S,FKG UGM (S) | FKG UGM (Selatan),review_fuzzy,,,,,0,2026-09-12
bus-gambiran-1-b1d95bb9,bus,TPB Gambiran 1,gambiran 1,,TPB Gambiran 1,review_fuzzy,,,,,0,2026-09-12
bus-gambiran-2-jalan-veteran-kota-1d0703dd,bus,TPB Gambiran 2 Jl. Veteran Kota,gambiran 2 jalan veteran kota,,TPB Gambiran 2 Jl. Veteran Kota,unmatched,,,,,0,2026-09-12
bus-gardu-pln-e-2cf004b2,bus,Gardu PLN (T),gardu pln,E,Gardu PLN (T),unmatched,,,,,0,2026-09-12
bus-gardu-pln-w-546add69,bus,Gardu PLN (B),gardu pln,W,Gardu PLN (B),unmatched,,,,,0,2026-09-12
bus-gedong-kuning-657f51a3,bus,Halte Gedong Kuning,gedong kuning,,Halte Gedong Kuning,unmatched,,,,,0,2026-09-12
bus-gedong-kuning-banguntapan-ccef67ea,bus,Gedong Kuning Banguntapan,gedong kuning banguntapan,,Gedong Kuning Banguntapan,unmatched,,,,,0,2026-09-12
bus-gedung-juang-45-3299e2b0,bus,Gedung Juang 45,gedung juang 45,,Gedung Juang 45,unmatched,,,,,0,2026-09-12
bus-gedung-madu-candhya-1-7aa1ea1b,bus,TPB Gedung Madu Candhya 1,gedung madu candhya 1,,TPB Gedung Madu Candhya 1,unmatched,,,,,0,2026-09-12
bus-gedung-madu-candhya-2-3a76d53b,bus,TPB Gedung Madu Candhya 2,gedung madu candhya 2,,TPB Gedung Madu Candhya 2,unmatched,,,,,0,2026-09-12
bus-gedung-wanita-763bc43c,bus,Halte Gedung Wanita,gedung wanita,,Halte Gedung Wanita,unmatched,,,,,0,2026-09-12
bus-gembira-loka-746e2bf0,bus,Gembira Loka,gembira loka,,Gembira Loka,review_fuzzy,,,,,0,2026-09-12
bus-gereja-pugeran-ab090bbd,bus,Halte Gereja Pugeran,gereja pugeran,,Halte Gereja Pugeran,review_fuzzy,,,,,0,2026-09-12
bus-gik-ugm-5b041db4,bus,Halte GIK UGM,gik ugm,,Halte GIK UGM,unmatched,,,,,0,2026-09-12
bus-gkj-wirobrajan-e-23f9db6e,bus,GKJ Wirobrajan (Timur),gkj wirobrajan,E,GKJ Wirobrajan (Timur),unmatched,,,,,0,2026-09-12
bus-gor-among-rogo-e2afbc5d,bus,TPB GOR Among Rogo,gor among rogo,,TPB GOR Among Rogo,review_fuzzy,,,,,0,2026-09-12
bus-gudang-sgm-2-39feb111,bus,TPB Gudang SGM 2,gudang sgm 2,,TPB Gudang SGM 2,review_fuzzy,,,,,0,2026-09-12
bus-gudang-sgm-c4a1d188,bus,TPB Gudang SGM,gudang sgm,,TPB Gudang SGM,review_fuzzy,,,,,0,2026-09-12
bus-hayam-wuruk-e-c4b95c88,bus,Hayam Wuruk (Timur),hayam wuruk,E,Hayam Wuruk (Timur),review_fuzzy,,,,,0,2026-09-12
bus-hayam-wuruk-w-b2b765b2,bus,Hayam Wuruk (Barat),hayam wuruk,W,Hayam Wuruk (Barat),review_fuzzy,,,,,0,2026-09-12
bus-hokben-jakal-barat-ea5e4cb6,bus,Hokben Jakal Barat,hokben jakal barat,,Hokben Jakal Barat,unmatched,,,,,0,2026-09-12
bus-hokben-jakal-e-d425d6fc,bus,Hokben Jakal (T),hokben jakal,E,Hokben Jakal (T) | Hokben Jakal (Timur),unmatched,,,,,0,2026-09-12
bus-hokben-jakal-w-08061330,bus,Hokben Jakal (B),hokben jakal,W,Hokben Jakal (B) | Hokben Jakal (Barat),unmatched,,,,,0,2026-09-12
bus-hotel-noola-1d14dbb7,bus,Halte Hotel Noola,hotel noola,,Halte Hotel Noola,unmatched,,,,,0,2026-09-12
bus-hotel-pramesthi-063819fe,bus,TPB Hotel Pramesthi,hotel pramesthi,,TPB Hotel Pramesthi,unmatched,,,,,0,2026-09-12
bus-hotel-utara-e-a8afeab1,bus,Hotel Utara (T),hotel utara,E,Hotel Utara (T) | Hotel Utara (Timur),review_fuzzy,,,,,0,2026-09-12
bus-hotel-utara-ea824463,bus,Hotel Utara,hotel utara,,Hotel Utara,review_fuzzy,,,,,0,2026-09-12
bus-hotel-utara-w-13ce416a,bus,Hotel Utara (B),hotel utara,W,Hotel Utara (B),review_fuzzy,,,,,0,2026-09-12
bus-hotel-vidi-jakal-f9ee9a87,bus,TPB Hotel Vidi Jakal,hotel vidi jakal,,TPB Hotel Vidi Jakal,unmatched,,,,,0,2026-09-12
bus-hotel-vidi-w-54b7fd5e,bus,Hotel Vidi (B),hotel vidi,W,Hotel Vidi (B),unmatched,,,,,0,2026-09-12
bus-hyundai-9b4bda77,bus,Halte Hyundai,hyundai,,Halte Hyundai,unmatched,,,,,0,2026-09-12
bus-indogrosir-a30b9f32,bus,Indogrosir,indogrosir,,Indogrosir,matched_exact,6a8abfd40d6732db988c587d,110.36238089063244,-7.750937298556053,2026-08-23T09:39:32.287Z,1,2026-09-12
bus-indomaret-klajuran-d5ed150c,bus,Indomaret Klajuran,indomaret klajuran,,Indomaret Klajuran,unmatched,,,,,0,2026-09-12
bus-indomaret-klajuran-n-05d831ba,bus,Indomaret Klajuran (U),indomaret klajuran,N,Indomaret Klajuran (U),unmatched,,,,,0,2026-09-12
bus-indomaret-klajuran-s-7a9d6d5c,bus,Indomaret Klajuran (S),indomaret klajuran,S,Indomaret Klajuran (S),unmatched,,,,,0,2026-09-12
bus-indomaret-pokoh-sambiroto-2-8c35c082,bus,Indomaret Pokoh Sambiroto 2,indomaret pokoh sambiroto 2,,Indomaret Pokoh Sambiroto 2,unmatched,,,,,0,2026-09-12
bus-indomaret-pokoh-sambiroto-825fb845,bus,Indomaret Pokoh Sambiroto,indomaret pokoh sambiroto,,Indomaret Pokoh Sambiroto,unmatched,,,,,0,2026-09-12
bus-indomaret-pokoh-w-2b09e1e7,bus,Indomaret Pokoh (B),indomaret pokoh,W,Indomaret Pokoh (B),unmatched,,,,,0,2026-09-12
bus-jadan-1-942625db,bus,Jadan 1,jadan 1,,Jadan 1,unmatched,,,,,0,2026-09-12
bus-jadan-2-a581f4d4,bus,Jadan 2,jadan 2,,Jadan 2,unmatched,,,,,0,2026-09-12
bus-jalan-colombo-panti-raph-97207924,bus,JL Colombo (Panti Raph),jalan colombo panti raph,,JL Colombo (Panti Raph),unmatched,,,,,0,2026-09-12
bus-jalan-colombo-panti-rapih-bfea009f,bus,JL Colombo (Panti Rapih),jalan colombo panti rapih,,JL Colombo (Panti Rapih),unmatched,,,,,0,2026-09-12
bus-jalan-colombo-samirono-0f6c71b2,bus,JL Colombo (Samirono),jalan colombo samirono,,JL Colombo (Samirono),review_fuzzy,,,,,0,2026-09-12
bus-jalan-colombo-uny-29a043e3,bus,TPB Jl. Colombo (UNY),jalan colombo uny,,TPB Jl. Colombo (UNY),matched_exact,6a8d39db52d86e03b51a8ece,110.38656902084153,-7.777819224696188,2026-08-25T06:44:43.633Z,1,2026-09-12
bus-jalan-mataram-hotel-akur-bfbbe7b3,bus,Jl. Mataram Hotel Akur,jalan mataram hotel akur,,Jl. Mataram Hotel Akur | Halte Jl. Mataram Hotel Akur,review_fuzzy,,,,,0,2026-09-12
bus-jalan-mayjen-sutoyo-jokteng-wetan-fb44ee8b,bus,Portabel Jl. Mayjen Sutoyo (Jokteng Wetan),jalan mayjen sutoyo jokteng wetan,,Portabel Jl. Mayjen Sutoyo (Jokteng Wetan),unmatched,,,,,0,2026-09-12
bus-jalan-mayjen-sutoyo-pasar-gading-4125f520,bus,Portabel Jl. Mayjen Sutoyo (Pasar Gading),jalan mayjen sutoyo pasar gading,,Portabel Jl. Mayjen Sutoyo (Pasar Gading),unmatched,,,,,0,2026-09-12
bus-jalan-mayjen-sutoyo-plengkung-gading-e73901f8,bus,TPB Jl. Mayjen Sutoyo (Plengkung Gading),jalan mayjen sutoyo plengkung gading,,TPB Jl. Mayjen Sutoyo (Plengkung Gading),unmatched,,,,,0,2026-09-12
bus-jalan-mayor-suryotomo-1-c556f1ef,bus,TPB Jl. Mayor Suryotomo 1,jalan mayor suryotomo 1,,TPB Jl. Mayor Suryotomo 1,unmatched,,,,,0,2026-09-12
bus-jalan-mayor-suryotomo-78bd4048,bus,TPB Jl. Mayor Suryotomo,jalan mayor suryotomo,,TPB Jl. Mayor Suryotomo,unmatched,,,,,0,2026-09-12
bus-jalan-perintis-kemerdekaan-08047d39,bus,Jl. Perintis Kemerdekaan,jalan perintis kemerdekaan,,Jl. Perintis Kemerdekaan,unmatched,,,,,0,2026-09-12
bus-jalan-perintis-kemerdekaan-s-0ce14968,bus,Jl. Perintis Kemerdekaan (Selatan),jalan perintis kemerdekaan,S,Jl. Perintis Kemerdekaan (Selatan),unmatched,,,,,0,2026-09-12
bus-jalan-pramuka-f6939358,bus,TPB Jl. Pramuka,jalan pramuka,,TPB Jl. Pramuka,unmatched,,,,,0,2026-09-12
bus-jalan-raya-kabunan-n-69a2aa61,bus,Jl. Raya Kabunan (U),jalan raya kabunan,N,Jl. Raya Kabunan (U),unmatched,,,,,0,2026-09-12
bus-jalan-solo-jayakarta-1c449de7,bus,Halte Jl. Solo (Jayakarta),jalan solo jayakarta,,Halte Jl. Solo (Jayakarta),review_fuzzy,,,,,0,2026-09-12
bus-jalan-solo-kalasan-9e89bd29,bus,TPB Jl. Solo Kalasan,jalan solo kalasan,,TPB Jl. Solo Kalasan,review_fuzzy,,,,,0,2026-09-12
bus-jalan-solo-kr-1-9ae31760,bus,TPB Jl. Solo KR 1,jalan solo kr 1,,TPB Jl. Solo KR 1,matched_exact,6a82e6214fd70be4125d2fb9,110.4505629589354,-7.781743084004972,2026-08-17T10:44:49.057Z,1,2026-09-12
bus-jalan-solo-kr-2-9c904b99,bus,Halte Jl. Solo KR 2,jalan solo kr 2,,Halte Jl. Solo KR 2,matched_exact,6a82e3344fd70be4125d2da1,110.44874006597814,-7.782562289437621,2026-08-17T10:32:20.176Z,1,2026-09-12
bus-jalan-solo-maguwo-1f37f812,bus,Halte Jl. Solo Maguwo,jalan solo maguwo,,Halte Jl. Solo Maguwo,matched_exact,6a82dd1338bb192425f4f6cf,110.43091366895266,-7.783398800192629,2026-08-17T10:06:11.975Z,1,2026-09-12
bus-jalan-veteran-d6be785d,bus,TPB Jl. Veteran,jalan veteran,,TPB Jl. Veteran,unmatched,,,,,0,2026-09-12
bus-janti-selatan-bawah-jembatan-04f06a52,bus,Halte Janti Selatan (Bawah Jembatan),janti selatan bawah jembatan,,Halte Janti Selatan (Bawah Jembatan),unmatched,,,,,0,2026-09-12
bus-janti-utara-95bc8d19,bus,Halte Janti Utara,janti utara,,Halte Janti Utara,matched_exact,6a82cb4138bb192425f4e370,110.41161075628742,-7.783226023666944,2026-08-17T08:50:09.468Z,1,2026-09-12
bus-jec-5c342f7d,bus,JEC,jec,,JEC | Halte JEC,unmatched,,,,,0,2026-09-12
bus-jend-sudirman-n-31ca1789,bus,Jend. Sudirman (U),jend sudirman,N,Jend. Sudirman (U),review_fuzzy,,,,,0,2026-09-12
bus-jih-b7958843,bus,JIH,jih,,JIH,unmatched,,,,,0,2026-09-12
bus-jlagran-402c26ac,bus,Jlagran,jlagran,,Jlagran,unmatched,,,,,0,2026-09-12
bus-jogja-city-mall-e-58185771,bus,Jogja City Mall (T),jogja city mall,E,Jogja City Mall (T) | Jogja City Mall (Timur),unmatched,,,,,0,2026-09-12
bus-jogja-city-mall-w-5608534c,bus,Jogja City Mall (B),jogja city mall,W,Jogja City Mall (B) | Jogja City Mall (Barat),unmatched,,,,,0,2026-09-12
bus-jogjatronik-061d67dd,bus,Jogjatronik,jogjatronik,,Jogjatronik,unmatched,,,,,0,2026-09-12
bus-jogokariyan-72238fe9,bus,Jogokariyan,jogokariyan,,Jogokariyan,review_fuzzy,,,,,0,2026-09-12
bus-jogokaryan-kimia-farma-1-89e48fc3,bus,Portabel Jogokaryan Kimia Farma 1,jogokaryan kimia farma 1,,Portabel Jogokaryan Kimia Farma 1,unmatched,,,,,0,2026-09-12
bus-kampus-unriyo-2-3037d304,bus,Kampus Unriyo 2,kampus unriyo 2,,Kampus Unriyo 2,unmatched,,,,,0,2026-09-12
bus-kampus-unriyo-445e1f15,bus,Kampus Unriyo,kampus unriyo,,Kampus Unriyo,unmatched,,,,,0,2026-09-12
bus-kantor-badan-kesatuan-bangsa-politik-c2b0ae66,bus,Kantor Badan Kesatuan Bangsa & Politik,kantor badan kesatuan bangsa politik,,Kantor Badan Kesatuan Bangsa & Politik,unmatched,,,,,0,2026-09-12
bus-kantor-badan-kesatuan-bangsa-politik-hal-a008e6f1,bus,Kantor Badan Kesatuan Bangsa & Politik (Halte 2),kantor badan kesatuan bangsa politik halte 2,,Kantor Badan Kesatuan Bangsa & Politik (Halte 2),unmatched,,,,,0,2026-09-12
bus-kantor-camat-ngaglik-91c4f095,bus,Kantor Camat Ngaglik,kantor camat ngaglik,,Kantor Camat Ngaglik,unmatched,,,,,0,2026-09-12
bus-kantor-desa-sidoarum-bf0f3167,bus,Kantor Desa Sidoarum,kantor desa sidoarum,,Kantor Desa Sidoarum,unmatched,,,,,0,2026-09-12
bus-kantor-desa-wedomartani-ca280dac,bus,Kantor Desa Wedomartani,kantor desa wedomartani,,Kantor Desa Wedomartani,unmatched,,,,,0,2026-09-12
bus-kantor-desa-wedomartani-halte-2-8ca3a4ae,bus,Kantor Desa Wedomartani (Halte 2),kantor desa wedomartani halte 2,,Kantor Desa Wedomartani (Halte 2),unmatched,,,,,0,2026-09-12
bus-kantor-kal-sidoarum-n-075c84d5,bus,Kantor Kal. Sidoarum (U),kantor kal sidoarum,N,Kantor Kal. Sidoarum (U),unmatched,,,,,0,2026-09-12
bus-kantor-kal-sidoarum-s-5d651e88,bus,Kantor Kal. Sidoarum (S),kantor kal sidoarum,S,Kantor Kal. Sidoarum (S),unmatched,,,,,0,2026-09-12
